"kuisioner1","kuisioner2","kuisioner3","kuisioner4","kuisioner5","kuisioner6","kuisioner7","kuisioner8","kuisioner9","kuisioner10","kuisioner11","kuisioner12","kuisioner13","kuisioner14","kuisioner15","kuisioner16","kuisioner17","kuisioner18","kuisioner19","kuisioner20","kuisioner21","kuisioner22","kuisioner23","kuisioner24","kuisioner25","kuisioner26","kuisioner27","kuisioner28","kuisioner29","kuisioner30","kuisioner31","kuisioner32","kuisioner33","kuisioner34","kuisioner35","kuisioner36","kuisioner37","kuisioner38","kuisioner39","kuisioner40","kuisioner41","kuisioner42","kuisioner43","kuisioner44","kuisioner45","kuisioner46","kuisioner47","kuisioner48","kuisioner49"
"4","4","5","5","4","4","5","4","3","3","4","3","4","3","4","3","4","4","3","3","4","4","4","3","3","3","4","4","3","3","3","4","4","4","5","5","4","4","4","1","2","3","3","3","2","2","3","3","3"
"4","5","4","5","5","4","4","4","3","4","4","5","5","4","4","4","1","4","1","3","4","4","3","3","3","4","4","4","1","2","1","1","2","2","4","4","3","3","3","2","2","3","3","3","2","2","2","3","3"
"2","3","3","2","3","3","2","2","3","2","2","1","3","3","3","2","2","2","4","4","3","3","4","4","3","3","4","4","2","3","4","4","4","3","2","2","2","2","1","3","3","3","3","4","4","4","4","5","5"
"4","4","4","5","4","4","4","4","2","3","3","1","3","3","2","2","3","3","2","2","4","4","3","3","4","5","4","4","1","2","2","2","3","3","2","2","3","2","2","3","3","3","2","2","2","1","2","2","2"
"2","2","3","3","4","4","4","4","3","4","1","3","3","3","1","3","3","1","1","2","2","2","1","2","2","2","4","4","3","3","3","3","2","3","2","2","3","3","3","4","3","4","2","4","4","3","2","3","4"
"2","2","1","1","2","2","2","1","3","3","5","5","4","4","5","5","4","4","2","1","2","2","1","1","1","1","2","2","3","3","3","3","2","2","2","1","1","1","2","2","2","1","1","2","2","2","1","1","1"
"3","1","5","5","5","1","2","1","2","2","1","1","2","1","1","2","1","2","1","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","5","1","1","1","2","2","1","2","2"
"4","4","4","4","3","3","3","3","2","2","2","2","4","4","4","4","3","3","2","2","2","2","2","2","2","1","1","1","3","4","3","4","3","4","3","3","4","3","3","2","2","2","2","1","1","1","2","2","2"
"3","4","1","5","3","5","4","1","1","2","2","4","2","1","4","1","3","5","3","3","3","2","3","5","5","5","3","3","3","3","3","2","5","5","5","2","3","2","2","1","2","1","1","1","1","2","2","2","1"
"3","2","3","3","4","3","5","5","4","3","4","4","3","3","3","2","2","5","1","1","2","2","2","2","1","1","1","2","2","2","2","2","1","1","1","1","2","2","2","5","4","4","4","5","5","5","4","4","4"
"5","5","5","5","5","5","5","5","4","4","5","5","5","3","5","5","5","5","4","4","3","4","5","4","4","4","4","4","5","5","5","5","5","5","5","5","3","4","4","5","5","5","5","5","5","5","5","5","5"
"5","5","5","5","5","5","5","5","4","4","5","5","5","2","3","3","4","5","4","3","1","2","4","4","4","3","4","4","3","5","4","4","4","5","5","5","4","5","5","5","5","4","4","4","5","2","3","5","5"
"4","4","2","3","3","4","3","4","5","5","5","5","4","4","4","5","5","5","4","4","5","5","3","3","5","5","5","5","4","5","5","4","5","5","5","5","3","5","5","3","5","5","3","5","5","4","2","5","5"
"5","5","5","5","4","3","5","5","4","4","4","4","4","4","4","5","5","5","4","3","5","3","4","4","4","4","4","4","4","4","4","5","4","5","5","5","3","3","4","5","5","5","4","2","5","4","5","5","5"
"4","4","2","3","3","4","3","4","5","5","5","5","4","4","4","5","5","5","4","4","5","5","3","3","5","5","5","5","4","5","5","4","5","5","5","5","4","5","5","3","5","5","3","5","5","4","2","5","5"
"2","3","2","2","4","4","3","4","2","3","3","3","3","4","4","2","2","2","3","3","3","3","2","2","3","1","4","2","4","4","3","3","2","3","4","4","4","3","3","3","2","3","3","3","5","5","5","5","5"
"3","4","4","5","5","4","4","5","3","3","5","5","4","1","4","4","5","5","2","2","3","3","4","4","4","3","4","4","4","5","4","4","5","5","5","5","4","5","5","5","5","5","5","5","4","4","3","5","5"
"3","4","4","5","4","5","4","5","4","4","5","5","4","1","4","4","5","5","3","1","2","3","4","5","4","4","5","4","3","4","3","5","5","5","5","4","5","4","4","4","4","4","3","4","3","2","2","4","4"
"4","4","3","2","2","3","4","4","4","3","3","3","4","5","4","3","2","4","5","4","4","5","5","4","5","4","3","3","5","4","3","4","4","5","5","5","4","4","4","5","5","5","4","5","5","4","5","4","5"
"4","4","3","2","2","3","4","4","4","3","3","3","4","5","4","3","2","4","5","4","4","5","5","4","5","4","3","2","5","4","3","4","5","3","3","4","3","2","4","5","5","5","4","4","4","5","5","5","2"
"4","4","2","4","5","5","4","5","4","4","5","5","3","3","5","5","5","5","3","1","2","3","4","4","4","4","5","4","4","5","5","4","5","5","5","5","4","5","5","4","5","5","5","5","5","5","4","5","5"
"4","4","2","4","5","5","4","5","4","4","5","5","3","3","5","5","5","5","4","1","1","2","3","3","4","4","4","4","3","5","5","5","5","5","5","5","4","5","4","4","5","5","4","5","5","4","2","5","5"
"4","3","1","3","3","4","3","5","2","3","4","2","4","2","5","3","4","5","2","1","1","3","4","5","3","3","4","4","3","2","3","3","4","5","5","4","1","4","3","4","5","4","5","3","4","4","4","5","5"
"4","3","2","3","3","4","3","4","4","4","5","5","4","2","3","5","5","5","3","1","2","3","4","4","4","4","4","4","4","5","5","4","5","5","5","5","4","5","5","4","5","5","4","5","5","4","2","5","5"
"4","4","2","3","3","4","3","4","5","5","5","5","4","4","4","5","5","5","4","4","5","5","3","3","5","5","5","5","4","5","5","4","5","5","5","5","4","5","5","3","5","5","3","5","5","4","2","5","5"
"4","5","5","3","4","3","4","5","4","2","3","5","1","1","2","4","4","4","4","4","2","1","2","3","3","3","4","4","4","5","3","3","4","5","5","5","3","4","4","4","4","4","5","3","4","5","1","5","5"
"5","5","4","3","2","1","2","3","3","3","2","3","2","3","4","5","3","2","3","4","3","5","5","4","3","2","1","2","2","3","4","5","5","5","4","4","4","4","4","4","3","4","3","2","3","4","5","5","5"
"4","2","3","2","2","3","3","2","2","3","2","3","2","3","3","2","3","3","3","3","3","2","3","2","3","3","2","2","3","3","2","2","3","3","2","3","2","2","1","2","2","3","3","2","2","3","3","2","4"
"2","3","3","2","3","3","2","3","2","2","3","3","3","2","3","3","2","3","3","3","4","4","3","4","3","4","4","4","3","2","3","3","3","2","3","2","3","2","3","2","3","3","2","3","3","2","3","2","3"
"5","5","1","1","4","2","4","5","4","4","4","4","4","3","4","4","5","5","2","2","4","4","4","4","2","5","4","3","4","4","4","4","4","3","5","4","1","3","2","4","5","4","4","4","3","2","2","4","2"
"3","4","2","2","3","4","2","4","1","4","4","3","2","1","1","2","3","4","2","1","2","1","1","2","3","1","2","1","1","1","1","2","2","3","4","3","1","3","1","1","1","1","1","1","1","2","3","2","1"
"5","5","1","1","5","1","3","5","5","4","4","4","2","1","5","2","5","5","1","2","1","4","1","5","2","1","5","4","1","5","1","4","4","5","5","5","5","4","2","4","5","5","1","5","5","5","2","5","5"
"2","5","3","4","5","3","2","5","4","5","4","2","5","1","4","3","5","4","1","1","1","2","1","4","2","1","4","2","1","2","3","4","5","5","5","5","1","3","2","4","5","5","2","1","3","2","1","4","5"
"4","3","4","4","4","3","4","3","2","4","3","3","4","3","2","3","4","5","3","4","3","3","2","3","4","4","5","4","4","4","4","4","4","5","4","4","4","4","3","4","3","4","4","4","3","3","3","4","5"
"4","5","2","1","3","2","3","4","4","3","3","1","2","2","4","2","4","5","1","1","2","2","2","1","2","3","2","1","1","3","2","2","2","4","5","5","2","3","3","3","3","3","3","2","3","2","2","3","2"
"2","3","1","2","2","2","2","3","3","4","4","5","2","2","5","2","5","4","2","2","2","3","2","1","2","2","3","3","2","3","2","5","4","4","5","5","5","3","2","3","3","4","3","2","3","1","2","2","2"
"2","3","2","2","4","1","1","4","2","2","4","4","2","4","3","2","4","1","1","1","1","2","1","3","4","2","2","1","2","2","1","3","4","3","4","5","5","4","1","4","1","1","1","2","4","4","3","1","2"
"3","4","1","5","5","4","2","5","2","3","4","1","1","3","4","4","5","5","2","2","2","3","3","4","4","2","2","2","4","2","3","4","4","5","4","2","3","4","5","2","3","4","2","4","3","4","2","3","4"
"5","2","5","4","5","5","4","5","5","4","5","1","3","1","5","4","4","5","1","1","1","2","2","1","4","1","2","3","3","2","4","5","5","5","5","5","4","4","2","2","2","4","4","4","4","4","2","4","4"
"3","4","1","2","3","2","2","4","1","2","3","4","1","1","3","4","4","4","1","2","2","2","2","1","2","2","2","2","1","2","2","2","3","4","3","5","4","4","1","4","3","2","3","2","3","2","2","1","2"
"5","5","1","4","5","2","5","2","5","4","5","5","4","4","5","4","5","5","2","2","5","5","5","4","4","4","4","5","5","1","4","4","5","5","5","5","5","4","4","5","5","4","5","4","5","5","1","5","5"
"4","4","2","3","5","2","4","5","4","4","4","1","2","2","2","2","3","5","2","2","1","2","3","4","3","2","3","3","3","3","4","4","3","5","5","5","1","4","3","4","4","3","3","3","4","2","2","2","3"
"1","1","1","1","2","1","2","2","4","5","5","5","4","1","4","4","4","5","2","2","1","2","1","4","1","2","4","2","1","2","4","2","4","5","5","4","1","4","2","4","2","4","2","1","4","2","2","2","4"
"5","4","1","5","5","4","4","1","4","4","4","1","2","1","3","2","3","5","3","3","4","5","5","4","4","3","4","2","3","1","4","4","4","5","5","4","4","3","4","4","5","4","3","1","3","3","3","4","3"
"2","2","1","1","1","1","2","2","3","4","3","1","2","1","3","3","3","4","3","1","2","1","2","1","1","1","2","2","2","2","2","3","1","2","4","4","1","1","2","2","1","1","2","1","2","2","3","4","4"
"3","4","3","4","4","3","4","4","4","3","4","4","4","3","5","3","4","2","3","2","4","2","5","3","4","4","5","4","4","3","5","4","5","5","3","4","1","3","4","4","3","4","3","5","4","4","3","4","4"
"4","4","3","5","5","4","5","5","4","4","4","5","5","5","5","4","5","5","5","3","2","3","5","4","4","2","3","4","5","1","4","5","3","5","5","5","5","4","3","4","5","3","2","4","4","2","2","4","5"
